model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.004621769646,-0.05958515558,0.03746469438,0.32,-3.599779204,-3.686729759,4.437299424,0.1359,0.1051042871,0.1099220919
gamma,marginal,weighted,-0.01616941404,-0.03689296216,-0.0004386261133,0.0221,0.1543943984,-3.660024905,6.937315739,0.3644,0.09881503726,0.1078220774
gamma,conditional,unweighted,-0.02327149365,-0.08021929971,0.02695993788,0.1407,-3.027937695,-3.686708102,2.900831664,0.1255,0.2399422332,0.2475269642
gamma,conditional,weighted,-0.02563823,-0.04958917795,-0.005964712878,0.0069,0.2128427822,-3.544653128,5.939408527,0.3899,0.1970494,0.1938686845
gamma,disorder,unweighted,0.01864972401,-0.01677609112,0.05187584016,0.836,-2.934617929,-3.687469943,0.2268756259,0.03,0.180488851,0.2069014601
gamma,disorder,weighted,-0.005595237823,-0.0235480278,0.0118439739,0.2511,-3.285587786,-3.688175703,0.4300959709,0.0342,0.1508310158,0.1666001706
uniform,marginal,unweighted,0.01395507284,-0.04007092589,0.05420850489,0.6101,-3.055030581,-3.687405049,1.816520355,0.069,0.1484834851,0.1540074732
uniform,marginal,weighted,-0.004226114699,-0.02547379145,0.01171326343,0.2397,-3.333951229,-3.687326996,1.985671347,0.0727,0.159016029,0.1626529467
uniform,conditional,unweighted,-0.006344367874,-0.07629271723,0.0525818715,0.3446,-3.598699061,-3.687793452,5.593483866,0.1405,0.1788916676,0.1909564902
uniform,conditional,weighted,-0.01955710087,-0.04765368017,0.003557986546,0.0451,1.628497817,-3.673450595,7.99287214,0.3607,0.1720340879,0.1771600831
uniform,disorder,unweighted,0.02029944071,-0.02527744438,0.06481785722,0.8063,0.8967963731,-3.685475556,8.609703961,0.2756,0.06312435844,0.05917035703
uniform,disorder,weighted,0.01403798323,-0.004839146109,0.03261071407,0.9293,-0.08108196208,-3.682212199,5.292084164,0.2293,0.07100803372,0.05628123072
