model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,8,1024,256,3000,-0.06266666667,-0.062,0.8400611315,0.8101240705,0.8699059825,0.7952648661,0.7553809937,0.8357033456,0.04479626542,0.01478338891,0.07533477826
gamma,1,8,1536,384,1600,-0.079375,-0.079375,0.8729952314,0.827609204,0.918809334,0.7667292058,0.7138267325,0.8220227095,0.1062660256,0.06236935194,0.1497132778
gamma,1,8,2048,512,1000,-0.017,-0.021,0.8725075075,0.8178526026,0.9281657157,0.7767687688,0.710029492,0.8428314439,0.09573873874,0.04205698198,0.1506039039
gamma,1,8,2560,640,400,-0.0075,-0.03,0.9105482456,0.8224729793,0.9977691886,0.8405983709,0.7248575345,0.9561372964,0.06994987469,-0.01952490602,0.1607020677
gamma,1,8,3072,768,300,0,-0.02,0.9563210702,0.8443393255,1.066075948,0.9630100334,0.8009130435,1.132101589,-0.006688963211,-0.1150585284,0.1040473802
gamma,1,8,4096,1024,150,-0.04666666667,-0.006666666667,0.7841163311,0.6554121924,0.9190385906,0.730738255,0.5552796421,0.9172399329,0.05337807606,-0.07382550336,0.1790626398
gamma,1,8,5120,1280,80,0.0125,-0.1625,0.9232594937,0.7198496835,1.12849288,0.8199367089,0.6,1.034731013,0.1033227848,-0.1139240506,0.3316495253
gamma,1,8,6144,1536,40,-0.375,0.2,0.8945512821,0.6150400641,1.168597756,0.8176282051,0.5012820513,1.128205128,0.07692307692,-0.1442307692,0.2846153846
gamma,1,4,32,16,6000,-0.109,-0.09783333333,0.5392803662,0.5261844915,0.5524702603,0.4951035034,0.4772416806,0.5126273823,0.04417686281,0.03072569178,0.05787273226
gamma,1,4,64,32,6000,-0.118,-0.1153333333,0.6061548036,0.591556233,0.6205171546,0.5584228483,0.5387558329,0.5783664986,0.04773195533,0.03259449908,0.06304484081
gamma,1,4,128,64,6000,-0.1076666667,-0.1186666667,0.6692746013,0.6524334646,0.6855952336,0.6243768961,0.6024175265,0.6467739995,0.04489770517,0.02783333125,0.06213124062
gamma,1,4,256,128,6000,-0.08933333333,-0.09483333333,0.7472209674,0.7290630581,0.7652055818,0.6938505168,0.669287409,0.7193064167,0.05337045063,0.03355643302,0.07277229955
gamma,1,4,512,256,5000,-0.1034,-0.0976,0.8261565713,0.8037909322,0.8489032411,0.7880407882,0.7568525345,0.8187406681,0.03811578316,0.01476354071,0.06141113823
gamma,1,4,768,384,4000,-0.09375,-0.10875,0.8666588522,0.8396604268,0.8934514129,0.8108402101,0.7754523631,0.8474204051,0.05581864216,0.02924728838,0.08237192423
gamma,1,4,1024,512,3000,-0.09633333333,-0.1,0.8964921085,0.8635240233,0.9297169237,0.8221006447,0.7774838724,0.8678667334,0.07439146382,0.04171888963,0.1071932811
gamma,1,4,1536,768,1600,-0.09,-0.059375,0.9425889228,0.8959650367,0.9874032159,0.8503750391,0.7891385485,0.9096119205,0.09221388368,0.04551017237,0.1393168386
gamma,1,4,2048,1024,1000,-0.118,-0.151,0.9751126126,0.9147256381,1.034767705,0.8658213213,0.7837747247,0.950501952,0.1092912913,0.04696671672,0.1713805806
gamma,1,4,2560,1280,400,-0.0975,-0.2175,1.00410401,0.9087088816,1.098882519,0.9226065163,0.8034570802,1.042332707,0.08149749373,-0.01525830201,0.1779078947
gamma,1,4,3072,1536,300,-0.1666666667,-0.1466666667,0.9618952062,0.850511845,1.073618172,0.805819398,0.6785876533,0.9420533724,0.1560758082,0.04949498328,0.2620919732
gamma,1,4,4096,2048,150,-0.1866666667,-0.03333333333,1.072505593,0.9013193512,1.243097875,1.166017897,0.9065771812,1.438236577,-0.09351230425,-0.2719530201,0.08
gamma,1,4,5120,2560,80,0.0125,-0.1,0.9252373418,0.7143928006,1.131329114,0.8227056962,0.5752373418,1.06458663,0.1025316456,-0.0835443038,0.3026938291
gamma,1,4,6144,3072,40,0.05,-0.275,1.024038462,0.7496554487,1.266346154,0.5227564103,0.3560897436,0.6717948718,0.5012820513,0.2461538462,0.7608974359
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.3272064226,0.3445773122,0.3396248125,0.3274124632,0.3520342793,-0.003771739734,-0.01218458076,0.004619343502
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.406638487,0.4271641301,0.4139783158,0.3997768187,0.4284056996,0.002837750736,-0.007652150358,0.01333473912
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.461674684,0.4856632786,0.4754407818,0.4587311132,0.4921654043,-0.001741067956,-0.01384947352,0.009967044507
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5354414444,0.5625580458,0.5511605268,0.5321681516,0.5704178214,-0.002202061455,-0.01564970828,0.01183507251
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.6026691758,0.6372342313,0.607320184,0.5843631706,0.6313106061,0.01261916383,-0.005030820164,0.02986872575
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6571189516,0.6985914275,0.6783834709,0.6495163596,0.7078144778,-0.0004336084021,-0.02118835959,0.02073281289
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.6610655191,0.7089598922,0.6782225186,0.6453037679,0.7117368567,0.007102367456,-0.01692877626,0.03076852284
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.6870246687,0.7541540514,0.7230136023,0.6763597952,0.7713447272,-0.002413617886,-0.03748471701,0.03126974867
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7446258383,0.8443000876,0.7645800801,0.6969587963,0.8327859359,0.03018218218,-0.01893848849,0.07832687688
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.7014254386,0.8425660244,0.7622525063,0.6636241385,0.8641353383,0.008333333333,-0.06500642231,0.08189708647
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6755567168,0.8369620959,0.8082720178,0.6745307971,0.9481386566,-0.0497993311,-0.1419188963,0.03998049052
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.6873596197,0.9919709172,0.8063534676,0.6017762864,1.023288591,0.03279642058,-0.09700447427,0.1623288591
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6720727848,1.065033623,0.8579113924,0.5821993671,1.169311709,0.01012658228,-0.2085443038,0.2174050633
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6214423077,1.10224359,0.8705128205,0.5612179487,1.191987179,0,-0.2051282051,0.1955128205
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4134478135,0.4340684458,0.4234038451,0.4087696977,0.4387275115,0.0002331499694,-0.01038040368,0.010809321
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.4734186878,0.4970274799,0.4942542507,0.4767747777,0.5111396604,-0.008908318053,-0.02114087626,0.003936551231
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.5449053078,0.5722827506,0.5668597544,0.5472587254,0.5862303787,-0.008242457076,-0.02223223454,0.005765079597
uniform,1,16,256,32,6000,-0.01066666667,-0.03266666667,0.6123449464,0.596895161,0.6279658183,0.620528088,0.5986739849,0.6428531866,-0.008183141635,-0.02381196866,0.00703787159
uniform,1,16,512,64,5000,-0.0284,-0.0448,0.6999331866,0.6816325645,0.7187567318,0.6792013603,0.6531893059,0.7063723545,0.02073182637,0.001149409882,0.04016720544
uniform,1,16,768,96,4000,-0.01225,-0.006,0.7172112716,0.6951203824,0.7388450261,0.7245366029,0.6941519286,0.7549127282,-0.007325331333,-0.02874938422,0.014684257
uniform,1,16,1024,128,3000,-0.041,-0.01133333333,0.7661840058,0.7397013991,0.7927899022,0.773317717,0.7354194343,0.8123820593,-0.007133711237,-0.03481165666,0.02069393131
uniform,1,16,1536,192,1600,-0.026875,-0.006875,0.8032422608,0.7633803451,0.8419549963,0.8196873046,0.7648089431,0.8757280478,-0.01644504378,-0.0548962926,0.02224218261
uniform,1,16,2048,256,1000,0.002,-0.033,0.8347882883,0.7836189189,0.8862374374,0.8247122122,0.7522906907,0.8979381882,0.01007607608,-0.0411524024,0.06167712713
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7568877663,0.9177295583,0.8550250627,0.7504705514,0.961956062,-0.01688596491,-0.09549028822,0.06403931704
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.8052607302,1.022603818,0.8459531773,0.7211294593,0.979509476,0.06672240803,-0.04468338907,0.1854202899
